RLN,ServiceCode,CargoCategoryCode,SupplyClassCode,Sqft,Stons,Mtons,POL,ProjectCode,ProvidingOrganization,FuelType,Description,ReservedNonBaseline,OnCallToPod,OnCallToDest,ErrorCode
AR00040,A,GAD,3A,0,0,0,60,,A,,3A,,false,false,
AR00041,A,GAD,3A,0,0,0,73,,A,,3A,,false,false,
AR00042,A,GAD,3A,0,0,0,79,,A,,3A,,false,false,
AR00043,A,GAD,3A,0,0,0,112,,A,,3A,,false,false,
AR00044,A,GAD,3A,0,0,0,138,,A,,3A,,false,false,
AR00045,A,GAD,3A,0,0,0,158,,A,,3A,,false,false,
AR00046,A,GAD,3A,0,0,0,158,,A,,3A,,false,false,
AR00047,A,GAD,3A,0,0,0,158,,A,,3A,,false,false,
AR00048,A,GAD,3A,0,0,0,159,,A,,3A,,false,false,
AR00049,A,GAD,3A,0,0,0,160,,A,,3A,,false,false,
AR00050,A,GAD,3A,0,0,0,160,,A,,3A,,false,false,
AR00051,A,GAD,3A,0,0,0,5,,A,,3A,,false,false,
AR00052,A,GAD,3A,0,0,0,6,,A,,3A,,false,false,
AR00053,A,GAD,3A,0,0,0,6,,A,,3A,,false,false,
AR00054,A,GAD,3A,0,0,0,6,,A,,3A,,false,false,
AR00055,A,GAD,3A,0,0,0,6,,A,,3A,,false,false,
AR00056,A,GAD,3A,0,0,0,6,,A,,3A,,false,false,
AR00057,A,GAD,3A,0,0,0,6,,A,,3A,,false,false,
AR00058,A,GAD,3A,0,0,0,6,,A,,3A,,false,false,
AR00059,A,GAD,3A,0,0,0,6,,A,,3A,,false,false,
AR00060,A,GAD,3A,0,0,0,6,,A,,3A,,false,false,
AR00061,A,GAD,3A,0,0,0,6,,A,,3A,,false,false,
FR00020,F,JCD,7A,1728,119.199997,489,0,,F,,MAJ END IT,,false,false,
FR00021,F,JCD,7A,1798,124,508,0,,F,,MAJ END IT,,false,false,
FR00022,F,JCD,7A,1798,124,508,0,,F,,MAJ END IT,,false,false,
FR00023,F,JCD,7A,1798,124,508,0,,F,,MAJ END IT,,false,false,
FR00024,F,JCD,7A,1798,124,508,0,,F,,MAJ END IT,,false,false,
