Model,FedTime,AssetID,AssetType,Location,MissionID,UpdateID
MAIN,23.05,7634331,RO/RO,DKSD,7634331-1,1
MAIN,33.05,8412869,RO/RO,DKSD,8412869-1,1
MAIN,33.05,8412869,RO/RO,DKSD,8412869-1,2
MAIN,33.05,8412869,RO/RO,DKSD,8412869-1,3
MAIN,67.05,7224306,CONT-NSS,RUAM,7224306-3,1
MAIN,88.05,6828624,CONT-NSS,RUAM,6828624-4,1
MAIN,90.05,7218462,CONT-NSS,RUAM,7218462-3,1
MAIN,109.05,7226897,FSS,RUAM,7226897-1,1
MAIN,143.05,7233278,CONT-NSS,RUAM,7233278-4,1
MAIN,143.05,7233278,CONT-NSS,RUAM,7233278-4,2
MAIN,143.05,7233278,CONT-NSS,RUAM,7233278-4,3
MAIN,143.05,7233278,CONT-NSS,RUAM,7233278-4,4
MAIN,143.05,7233278,CONT-NSS,RUAM,7233278-4,5
MAIN,163.05,7224306,CONT-NSS,RUAM,7224306-6,1
