Organization,CommodityType,Day,LocalSupplyLevel
ABN,GEN-RESUPPLY,0,5
ABN,GEN-AMMO,0,0
ABN,GEN-POL,0,0
BIR EL ATER,GEN-RESUPPLY,0,5
BIR EL ATER,GEN-AMMO,0,0
BIR EL ATER,GEN-POL,0,0
GABES,GEN-RESUPPLY,0,5
GABES,GEN-AMMO,0,0
GABES,GEN-POL,0,0
GABES (HNTM),GEN-RESUPPLY,0,5
GABES (HNTM),GEN-AMMO,0,0
GABES (HNTM),GEN-POL,0,0
GABES (HNTS),GEN-RESUPPLY,0,5
GABES (HNTS),GEN-AMMO,0,0
GABES (HNTS),GEN-POL,0,0
GAFSA,GEN-RESUPPLY,0,5
GAFSA,GEN-AMMO,0,0
GAFSA,GEN-POL,0,0
JERBA-ZARZIS,GEN-RESUPPLY,0,5
JERBA-ZARZIS,GEN-AMMO,0,0
JERBA-ZARZIS,GEN-POL,0,0
MADANIYIN,GEN-RESUPPLY,0,5
MADANIYIN,GEN-AMMO,0,0
MADANIYIN,GEN-POL,0,0
MECHANICSBURG,GEN-RESUPPLY,0,0
MECHANICSBURG,GEN-AMMO,0,0
MECHANICSBURG,GEN-POL,0,0
PHILADELPHIA,GEN-RESUPPLY,0,0
PHILADELPHIA,GEN-AMMO,0,0
PHILADELPHIA,GEN-POL,0,0
SEABASE,GEN-RESUPPLY,0,5
SEABASE,GEN-AMMO,0,0
SEABASE,GEN-POL,0,0
SFAX,GEN-RESUPPLY,0,5
SFAX,GEN-AMMO,0,0
SFAX,GEN-POL,0,0
SIGONELLA,GEN-RESUPPLY,0,5
SIGONELLA,GEN-AMMO,0,0
SIGONELLA,GEN-POL,0,0
TEBESSA,GEN-RESUPPLY,0,5
TEBESSA,GEN-AMMO,0,0
TEBESSA,GEN-POL,0,0
THYNA-EL MAOU,GEN-RESUPPLY,0,5
THYNA-EL MAOU,GEN-AMMO,0,0
THYNA-EL MAOU,GEN-POL,0,0
